альбом;название_песни;слово;лемма;часть_речи;род;число;падеж;время;лицо;наклонение;вид;залог;степень;возвратность;одушевленность;переходность;имена_собственные;таксономия;подтема_инструментов;таксономия_прилагательных
Пуля, 2016;Плеер;Три-четыре;три-четыре;NUMR;;;винительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;трека;трек;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;на;на;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;велосипеде;велосипед;NOUN;мужской;единственное;предложный;;;;;;;;неодушевлённое;;;инструменты;транспортные средства;
Пуля, 2016;Плеер;из;из;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;лома;лом;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;на;на;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;какую-нибудь;какой-нибудь;APRO;женский;единственное;винительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;репетицию;репетиция;NOUN;женский;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Три-четыре;три-четыре;NUMR;;;винительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;альбома;альбом;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;на;на;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;самолете;самолёт;NOUN;мужской;единственное;предложный;;;;;;;;неодушевлённое;;;инструменты;транспортные средства;
Пуля, 2016;Плеер;из;из;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;Екатеринбурга;екатеринбург;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;топонимы;;;
Пуля, 2016;Плеер;в;в;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;какую-нибудь;какой-нибудь;APRO;женский;единственное;винительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;столицу;столица;NOUN;женский;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Винил;винить;VERB;мужской;единственное;;прошедшее;;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;пленка;плёнка;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;CD;cd;;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;Mp3;mp;;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;и;и;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;снова;снова;ADVB;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;винил;винить;VERB;мужской;единственное;;прошедшее;;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;На;на;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;то;то;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;что;что;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;бы;бы;PRCL;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Пуля, 2016;Плеер;ориентировался;ориентироваться;VERB;мужской;единственное;;прошедшее;;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;в;в;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;пространстве;пространство;NOUN;средний;единственное;предложный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Работает;работать;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;целая;целый;ADJF;женский;единственное;именительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;музыкальная;музыкальный;ADJF;женский;единственное;именительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;индустрия;индустрия;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Кто;кто;NPRO;мужской;единственное;именительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;еще;ещё;ADVB;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;может;мочь;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;этим;это;NPRO;средний;единственное;творительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;похвастаться;похвастаться;INFN;;;;;;;совершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;Кто;кто;NPRO;мужской;единственное;именительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;еще;ещё;ADVB;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;может;мочь;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;так;так;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;раствориться;раствориться;INFN;;;;;;;совершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;в;в;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;реальности;реальность;NOUN;женский;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Нота-аккорд;нота-аккорд;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Буква-слово;буква-слово;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Вот;вот;PRCL;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;и;и;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;готово;готовый;ADJS;средний;единственное;;;;;;;;;;;;;;
Пуля, 2016;Плеер;Ставь;ставить;VERB;;единственное;;;;повелительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;на;на;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;запись;запись;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Луна;луна;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;выглядывает;выглядывать;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;из;из;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;за;за;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;угла;угол;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;И;и;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;улыбается;улыбаться;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;Зима;зима;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;меняет;менять;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;местами;место;NOUN;средний;множественное;творительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;дома;дом;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;здания и сооружения;;
Пуля, 2016;Плеер;И;и;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;кувыркается;кувыркаться;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;снег;снег;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;материалы;;
Пуля, 2016;Плеер;И;и;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;зажигается;зажигаться;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;свет;свет;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Мне;я;NPRO;;единственное;дательный;;1;;;;;;;;;;;
Пуля, 2016;Плеер;будет;быть;VERB;;единственное;;будущее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;пятнадцать;пятнадцать;NUMR;;;именительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;всегда;всегда;ADVB;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;И;и;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;ничего;ничего;ADVB;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;не;не;PRCL;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;меняется;меняться;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;Зима;зима;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;устала;устать;VERB;женский;единственное;;прошедшее;;изъявительное;совершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;и;и;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;легла;лечь;VERB;женский;единственное;;прошедшее;;изъявительное;совершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;на;на;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;проспект;проспект;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Велосипедам;велосипед;NOUN;мужской;множественное;дательный;;;;;;;;неодушевлённое;;;инструменты;транспортные средства;
Пуля, 2016;Плеер;респект;респект;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Трамваям;трамвай;NOUN;мужской;множественное;дательный;;;;;;;;неодушевлённое;;;инструменты;транспортные средства;
Пуля, 2016;Плеер;привет;привет;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Свой;свой;APRO;мужской;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;первый;первый;ANUM;мужской;единственное;именительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;плеер;плеер;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;инструменты;механизмы и приборы;
Пуля, 2016;Плеер;я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Пуля, 2016;Плеер;привез;привезти;VERB;мужской;единственное;;прошедшее;;изъявительное;совершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;из;из;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;ГДР;гдр;NOUN;женский;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Плеер;плеер;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;инструменты;механизмы и приборы;
Пуля, 2016;Плеер;кассетный;кассетный;ADJF;мужской;единственное;именительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;сделан;сделать;PRTS;мужской;единственное;;прошедшее;;;совершенный;страдательный;;;;;;;;
Пуля, 2016;Плеер;в;в;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;Корее;корея;NOUN;женский;единственное;дательный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Пришлось;прийтись;VERB;средний;единственное;;прошедшее;;изъявительное;совершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;попотеть;попотеть;INFN;;;;;;;совершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;чтобы;чтобы;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;одновременно;одновременно;ADVB;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;хвастаться;хвастаться;INFN;;;;;;;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;И;и;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;одновременно;одновременно;ADVB;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;не;не;PRCL;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;отхватить;отхватить;INFN;;;;;;;совершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;пздюлей;пздюля;NOUN;женский;единственное;творительный;;;;;;;;одушевлённое;;;;;
Пуля, 2016;Плеер;Плеер;плеер;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;инструменты;механизмы и приборы;
Пуля, 2016;Плеер;кассетный;кассетный;ADJF;мужской;единственное;именительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;редкость;редкость;NOUN;женский;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;в;в;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;то;то;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;время;время;NOUN;средний;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Такая;такой;APRO;женский;единственное;именительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;же;же;PRCL;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;редкость;редкость;NOUN;женский;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;как;как;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;плеер;плеер;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;инструменты;механизмы и приборы;
Пуля, 2016;Плеер;пальчиковые;пальчиковый;ADJF;;множественное;именительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;батарейки;батарейка;NOUN;женский;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Батарейки;батарейка;NOUN;женский;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;грели;греть;VERB;;множественное;;прошедшее;;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;на;на;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;батарее;батарея;NOUN;женский;единственное;дательный;;;;;;;;неодушевлённое;;;инструменты;механизмы и приборы;
Пуля, 2016;Плеер;Батарейки;батарейка;NOUN;женский;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;грызли;грызть;VERB;;множественное;;прошедшее;;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;Варили;варить;VERB;;множественное;;прошедшее;;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;в;в;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;кипящей;кипеть;PRTF;женский;единственное;родительный;настоящее;;;несовершенный;действительный;;;;непереходный;;;;
Пуля, 2016;Плеер;воде;вода;NOUN;женский;единственное;предложный;;;;;;;;неодушевлённое;;;еда и напитки;;
Пуля, 2016;Плеер;Еще;ещё;ADVB;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;за;за;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;каким-то;какой-то;APRO;мужской;единственное;творительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;хром;хром;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;плеер;плеер;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;инструменты;механизмы и приборы;
Пуля, 2016;Плеер;подключали;подключать;VERB;;множественное;;прошедшее;;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;к;к;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;какой-то;какой-то;APRO;женский;единственное;родительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;аудио;аудио;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;системе;система;NOUN;женский;единственное;предложный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Зачем;зачем;ADVB;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;не;не;PRCL;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;помню;помнить;VERB;;единственное;;настоящее;1;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;Наверно;наверно;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;для;для;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;того;тот;ADJF;средний;единственное;родительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;чтобы;чтобы;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;проверить;проверить;INFN;;;;;;;совершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;пишет;писать;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;или;или;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;нет;нет;PRED;;;;настоящее;;;;;;;;;;;;
Пуля, 2016;Плеер;В;в;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;то;то;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;время;время;NOUN;средний;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;мало;мало;NUMR;;;именительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;что;что;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;вызывало;вызывать;VERB;средний;единственное;;прошедшее;;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;доверие;доверие;NOUN;средний;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Плеер;плеер;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;инструменты;механизмы и приборы;
Пуля, 2016;Плеер;о;о;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;плеер;плеер;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;инструменты;механизмы и приборы;
Пуля, 2016;Плеер;Великое;великое;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;изобретение;изобретение;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Год;год;NOUN;мужской;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;девяносто;девяносто;NUMR;;;именительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;первый;первый;ANUM;мужской;единственное;именительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;остановка;остановка;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;метель;метель;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Тело;тело;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;немеет;неметь;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;а;а;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;в;в;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;голове;голова;NOUN;женский;единственное;предложный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Violator;violator;;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;или;или;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;Electric;electric;;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;Cafe;cafe;;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;Плеер;плеер;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;инструменты;механизмы и приборы;
Пуля, 2016;Плеер;замерзал;замерзать;VERB;мужской;единственное;;прошедшее;;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;и;и;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;тянул;тянуть;VERB;мужской;единственное;;прошедшее;;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;в;в;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;два;два;NUMR;мужской;;именительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;раза;раз;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;медленнее;медленный;COMP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;В;в;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;два;два;NUMR;мужской;;именительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;раза;раз;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;медленнее;медленный;COMP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;тянулась;тянуться;VERB;женский;единственное;;прошедшее;;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;юность;юность;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Я;я;NPRO;;единственное;именительный;;1;;;;;;;;;;;
Пуля, 2016;Плеер;до;до;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;сих;сей;APRO;;множественное;родительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;пор;пора;NOUN;женский;множественное;родительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;сутулюсь;сутулиться;VERB;;единственное;;настоящее;1;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;И;и;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;до;до;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;сих;сей;APRO;;множественное;родительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;пор;пора;NOUN;женский;множественное;родительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Винил;винить;VERB;мужской;единственное;;прошедшее;;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;пленка;плёнка;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;CD;cd;;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;Mp3;mp;;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;и;и;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;снова;снова;ADVB;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;винил;винить;VERB;мужской;единственное;;прошедшее;;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;Ночами;ночь;NOUN;женский;множественное;творительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;длинными;длинный;ADJF;;множественное;творительный;;;;;;;;;;;;;форма
Пуля, 2016;Плеер;вытаращив;вытаращить;GRND;;;;прошедшее;;;совершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;глаза;глаз;NOUN;мужской;множественное;винительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Мы;мы;NPRO;;множественное;именительный;;1;;;;;;;;;;;
Пуля, 2016;Плеер;переписывали;переписывать;VERB;;множественное;;прошедшее;;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;и;и;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;писали;писать;VERB;;множественное;;прошедшее;;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;переписывали;переписывать;VERB;;множественное;;прошедшее;;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;и;и;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;писали;писать;VERB;;множественное;;прошедшее;;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;Качали;качать;VERB;;множественное;;прошедшее;;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;в;в;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;себя;себя;NPRO;;единственное;винительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;любую;любой;APRO;женский;единственное;винительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;музыкальную;музыкальный;ADJF;женский;единственное;винительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;информацию;информация;NOUN;женский;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Которая;который;APRO;женский;единственное;именительный;;;;;;;;;;;;;
Пуля, 2016;Плеер;была;быть;VERB;женский;единственное;;прошедшее;;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;гораздо;гораздо;ADVB;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;важнее;важный;COMP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;развала;развал;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Союза;союз;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Хозрасчета;хозрасчёт;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;и;и;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;гласности;гласность;NOUN;женский;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Нота-аккорд;нота-аккорд;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Буква-слово;буква-слово;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Вот;вот;PRCL;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;и;и;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;готово;готовый;ADJS;средний;единственное;;;;;;;;;;;;;;
Пуля, 2016;Плеер;Ставь;ставить;VERB;;единственное;;;;повелительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;на;на;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;запись;запись;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Луна;луна;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;выглядывает;выглядывать;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;из-за;из-за;PREP;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;угла;угол;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;И;и;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;улыбается;улыбаться;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;Зима;зима;NOUN;женский;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;меняет;менять;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;переходный;;;;
Пуля, 2016;Плеер;местами;место;NOUN;средний;множественное;творительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;дома;дом;NOUN;мужской;единственное;родительный;;;;;;;;неодушевлённое;;;здания и сооружения;;
Пуля, 2016;Плеер;И;и;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;кувыркается;кувыркаться;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;снег;снег;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;материалы;;
Пуля, 2016;Плеер;И;и;CONJ;;;;;;;;;;;;;;;;
Пуля, 2016;Плеер;зажигается;зажигаться;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Пуля, 2016;Плеер;свет;свет;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Пуля, 2016;Плеер;Мне;я;NPRO;;единственное;дательный;;1;;;;;;;;;;;
